Subscribers, Delay (ms)
6 Subscribers,91.92
6 Subscribers,100.07
6 Subscribers,109.10
6 Subscribers,78.39
6 Subscribers,84.71
6 Subscribers,93.48
6 Subscribers,94.78
6 Subscribers,97.68
6 Subscribers,100.86
6 Subscribers,88.17
6 Subscribers,90.34
6 Subscribers,91.41
6 Subscribers,96.87
6 Subscribers,97.63
6 Subscribers,99.82
6 Subscribers,81.78
6 Subscribers,87.73
6 Subscribers,91.35
6 Subscribers,91.58
6 Subscribers,92.86
6 Subscribers,96.70
6 Subscribers,86.53
6 Subscribers,92.70
6 Subscribers,94.48
6 Subscribers,94.72
6 Subscribers,95.53
6 Subscribers,95.77
6 Subscribers,86.49
6 Subscribers,90.62
6 Subscribers,91.25
6 Subscribers,97.47
6 Subscribers,101.58
6 Subscribers,102.79
6 Subscribers,85.13
6 Subscribers,89.97
6 Subscribers,94.24
6 Subscribers,97.13
6 Subscribers,100.79
6 Subscribers,104.96
6 Subscribers,89.14
6 Subscribers,92.11
6 Subscribers,105.48
6 Subscribers,112.98
6 Subscribers,124.18
6 Subscribers,127.11
6 Subscribers,92.12
6 Subscribers,92.81
6 Subscribers,96.37
6 Subscribers,97.06
6 Subscribers,98.28
6 Subscribers,104.85
6 Subscribers,73.39
6 Subscribers,76.24
6 Subscribers,76.77
6 Subscribers,96.31
6 Subscribers,96.87
6 Subscribers,101.68
6 Subscribers,96.04
6 Subscribers,96.93
6 Subscribers,100.16
6 Subscribers,101.22
6 Subscribers,105.46
6 Subscribers,112.41
6 Subscribers,83.67
6 Subscribers,86.17
6 Subscribers,93.63
6 Subscribers,96.33
6 Subscribers,98.87
6 Subscribers,101.07
6 Subscribers,85.46
6 Subscribers,93.02
6 Subscribers,94.55
6 Subscribers,96.27
6 Subscribers,96.71
6 Subscribers,101.35
6 Subscribers,79.96
6 Subscribers,90.50
6 Subscribers,92.31
6 Subscribers,94.76
6 Subscribers,96.51
6 Subscribers,99.24
6 Subscribers,93.73
6 Subscribers,96.73
6 Subscribers,97.01
6 Subscribers,102.58
6 Subscribers,105.68
6 Subscribers,109.88
6 Subscribers,85.66
6 Subscribers,89.75
6 Subscribers,94.25
6 Subscribers,95.20
6 Subscribers,95.77
6 Subscribers,100.01
6 Subscribers,80.15
6 Subscribers,82.39
6 Subscribers,89.15
