PID, Clients, Delay (ms)
71909,32 Pubs and Subs ,183.68
71909,32 Pubs and Subs ,183.96
71909,32 Pubs and Subs ,184.10
71909,32 Pubs and Subs ,184.28
71909,32 Pubs and Subs ,184.45
71909,32 Pubs and Subs ,184.50
71909,32 Pubs and Subs ,184.60
71909,32 Pubs and Subs ,184.81
71909,32 Pubs and Subs ,185.06
71909,32 Pubs and Subs ,185.27
71909,32 Pubs and Subs ,185.60
71909,32 Pubs and Subs ,186.05
71909,32 Pubs and Subs ,186.08
71909,32 Pubs and Subs ,186.23
71909,32 Pubs and Subs ,186.25
71909,32 Pubs and Subs ,186.98
71909,32 Pubs and Subs ,187.07
71909,32 Pubs and Subs ,187.08
71909,32 Pubs and Subs ,187.13
71909,32 Pubs and Subs ,187.54
71909,32 Pubs and Subs ,187.65
71909,32 Pubs and Subs ,187.85
71909,32 Pubs and Subs ,188.18
71909,32 Pubs and Subs ,188.75
71905,32 Pubs and Subs ,185.39
71905,32 Pubs and Subs ,185.44
71905,32 Pubs and Subs ,185.91
71905,32 Pubs and Subs ,186.25
71905,32 Pubs and Subs ,187.00
71905,32 Pubs and Subs ,186.78
71905,32 Pubs and Subs ,187.78
71905,32 Pubs and Subs ,187.87
71905,32 Pubs and Subs ,187.65
71905,32 Pubs and Subs ,188.00
71905,32 Pubs and Subs ,187.83
71905,32 Pubs and Subs ,188.30
71905,32 Pubs and Subs ,188.36
71905,32 Pubs and Subs ,188.62
71905,32 Pubs and Subs ,188.69
71905,32 Pubs and Subs ,188.73
71905,32 Pubs and Subs ,188.90
71905,32 Pubs and Subs ,188.92
71905,32 Pubs and Subs ,189.23
71905,32 Pubs and Subs ,189.26
71905,32 Pubs and Subs ,189.41
71905,32 Pubs and Subs ,189.68
71905,32 Pubs and Subs ,189.82
71905,32 Pubs and Subs ,189.86
71905,32 Pubs and Subs ,189.95
71905,32 Pubs and Subs ,190.11
71905,32 Pubs and Subs ,190.47
71905,32 Pubs and Subs ,190.55
71905,32 Pubs and Subs ,190.70
71905,32 Pubs and Subs ,191.29
71900,32 Pubs and Subs ,186.20
71900,32 Pubs and Subs ,186.24
71905,32 Pubs and Subs ,191.88
71900,32 Pubs and Subs ,187.11
71900,32 Pubs and Subs ,187.27
71900,32 Pubs and Subs ,187.89
71900,32 Pubs and Subs ,188.61
71900,32 Pubs and Subs ,188.71
71900,32 Pubs and Subs ,188.84
71900,32 Pubs and Subs ,189.11
71900,32 Pubs and Subs ,189.48
71900,32 Pubs and Subs ,189.45
71900,32 Pubs and Subs ,189.91
71900,32 Pubs and Subs ,190.00
71900,32 Pubs and Subs ,190.03
71900,32 Pubs and Subs ,190.44
71900,32 Pubs and Subs ,190.53
71900,32 Pubs and Subs ,190.68
71900,32 Pubs and Subs ,190.75
71900,32 Pubs and Subs ,190.72
71900,32 Pubs and Subs ,190.82
71900,32 Pubs and Subs ,191.01
71900,32 Pubs and Subs ,191.17
71900,32 Pubs and Subs ,191.17
71900,32 Pubs and Subs ,191.47
71900,32 Pubs and Subs ,191.49
71900,32 Pubs and Subs ,191.50
71900,32 Pubs and Subs ,191.82
71905,32 Pubs and Subs ,197.23
71900,32 Pubs and Subs ,192.39
71900,32 Pubs and Subs ,192.73
71900,32 Pubs and Subs ,193.02
71900,32 Pubs and Subs ,193.35
71900,32 Pubs and Subs ,194.30
71901,32 Pubs and Subs ,171.90
71901,32 Pubs and Subs ,171.91
71901,32 Pubs and Subs ,172.20
71901,32 Pubs and Subs ,173.48
71901,32 Pubs and Subs ,173.57
71901,32 Pubs and Subs ,174.28
71901,32 Pubs and Subs ,174.33
71901,32 Pubs and Subs ,174.39
71901,32 Pubs and Subs ,174.57
71901,32 Pubs and Subs ,174.74
71901,32 Pubs and Subs ,174.86
71901,32 Pubs and Subs ,174.93
71901,32 Pubs and Subs ,175.35
71901,32 Pubs and Subs ,175.44
71901,32 Pubs and Subs ,175.50
71901,32 Pubs and Subs ,175.88
71901,32 Pubs and Subs ,175.94
71901,32 Pubs and Subs ,176.12
71901,32 Pubs and Subs ,176.25
71901,32 Pubs and Subs ,176.40
71901,32 Pubs and Subs ,176.44
71901,32 Pubs and Subs ,176.66
71901,32 Pubs and Subs ,176.83
71901,32 Pubs and Subs ,176.93
71901,32 Pubs and Subs ,176.97
71901,32 Pubs and Subs ,177.00
71901,32 Pubs and Subs ,174.90
71901,32 Pubs and Subs ,174.06
71901,32 Pubs and Subs ,177.86
71906,32 Pubs and Subs ,175.18
71901,32 Pubs and Subs ,178.34
71906,32 Pubs and Subs ,175.69
71906,32 Pubs and Subs ,175.76
71906,32 Pubs and Subs ,176.35
71906,32 Pubs and Subs ,176.67
71906,32 Pubs and Subs ,176.79
71906,32 Pubs and Subs ,176.09
71906,32 Pubs and Subs ,177.27
71906,32 Pubs and Subs ,177.38
71906,32 Pubs and Subs ,177.82
71906,32 Pubs and Subs ,177.97
71906,32 Pubs and Subs ,178.25
71906,32 Pubs and Subs ,178.54
71906,32 Pubs and Subs ,178.67
71906,32 Pubs and Subs ,179.07
71901,32 Pubs and Subs ,177.86
71899,32 Pubs and Subs ,175.85
71906,32 Pubs and Subs ,179.66
71906,32 Pubs and Subs ,179.96
71901,32 Pubs and Subs ,183.11
71899,32 Pubs and Subs ,176.45
71906,32 Pubs and Subs ,180.46
71906,32 Pubs and Subs ,180.48
71906,32 Pubs and Subs ,180.47
71899,32 Pubs and Subs ,177.12
71899,32 Pubs and Subs ,177.25
71906,32 Pubs and Subs ,180.96
71899,32 Pubs and Subs ,177.63
71906,32 Pubs and Subs ,181.29
71899,32 Pubs and Subs ,177.71
71899,32 Pubs and Subs ,177.77
71906,32 Pubs and Subs ,181.73
71906,32 Pubs and Subs ,181.85
71906,32 Pubs and Subs ,181.85
71899,32 Pubs and Subs ,178.30
71899,32 Pubs and Subs ,178.49
71899,32 Pubs and Subs ,178.53
71899,32 Pubs and Subs ,178.53
71899,32 Pubs and Subs ,178.50
71899,32 Pubs and Subs ,178.65
71906,32 Pubs and Subs ,182.68
71906,32 Pubs and Subs ,182.69
71899,32 Pubs and Subs ,179.13
71899,32 Pubs and Subs ,181.22
71899,32 Pubs and Subs ,181.62
71899,32 Pubs and Subs ,181.96
71906,32 Pubs and Subs ,185.72
71899,32 Pubs and Subs ,182.59
71906,32 Pubs and Subs ,186.34
71899,32 Pubs and Subs ,182.95
71899,32 Pubs and Subs ,183.13
71899,32 Pubs and Subs ,183.22
71899,32 Pubs and Subs ,183.27
71899,32 Pubs and Subs ,183.41
71899,32 Pubs and Subs ,183.49
71906,32 Pubs and Subs ,187.44
71899,32 Pubs and Subs ,184.20
71899,32 Pubs and Subs ,184.26
71899,32 Pubs and Subs ,184.45
71867,32 Pubs and Subs ,174.51
71867,32 Pubs and Subs ,174.53
71899,32 Pubs and Subs ,184.80
71906,32 Pubs and Subs ,188.85
71867,32 Pubs and Subs ,175.38
71899,32 Pubs and Subs ,185.58
71867,32 Pubs and Subs ,175.68
71899,32 Pubs and Subs ,185.78
71867,32 Pubs and Subs ,175.82
71906,32 Pubs and Subs ,189.77
71867,32 Pubs and Subs ,176.30
71867,32 Pubs and Subs ,176.33
71867,32 Pubs and Subs ,176.37
71899,32 Pubs and Subs ,186.49
71867,32 Pubs and Subs ,176.76
71867,32 Pubs and Subs ,176.79
71867,32 Pubs and Subs ,176.92
71867,32 Pubs and Subs ,177.02
71867,32 Pubs and Subs ,177.14
71867,32 Pubs and Subs ,177.37
71867,32 Pubs and Subs ,177.55
71867,32 Pubs and Subs ,177.83
71867,32 Pubs and Subs ,178.00
71867,32 Pubs and Subs ,178.20
71867,32 Pubs and Subs ,178.33
71867,32 Pubs and Subs ,178.63
71899,32 Pubs and Subs ,188.60
71867,32 Pubs and Subs ,178.90
71867,32 Pubs and Subs ,179.01
71867,32 Pubs and Subs ,179.01
71867,32 Pubs and Subs ,186.28
71867,32 Pubs and Subs ,186.28
71867,32 Pubs and Subs ,187.40
71867,32 Pubs and Subs ,187.41
71867,32 Pubs and Subs ,187.42
71867,32 Pubs and Subs ,187.40
71867,32 Pubs and Subs ,188.18
71908,32 Pubs and Subs ,184.38
71908,32 Pubs and Subs ,184.42
71867,32 Pubs and Subs ,190.32
71908,32 Pubs and Subs ,186.56
71908,32 Pubs and Subs ,186.63
71908,32 Pubs and Subs ,186.60
71908,32 Pubs and Subs ,186.78
71908,32 Pubs and Subs ,186.93
71908,32 Pubs and Subs ,186.93
71908,32 Pubs and Subs ,186.93
71908,32 Pubs and Subs ,187.09
71908,32 Pubs and Subs ,187.22
71908,32 Pubs and Subs ,187.28
71908,32 Pubs and Subs ,187.31
71908,32 Pubs and Subs ,187.56
71908,32 Pubs and Subs ,187.64
71867,32 Pubs and Subs ,191.71
71908,32 Pubs and Subs ,187.94
71908,32 Pubs and Subs ,188.06
71908,32 Pubs and Subs ,188.25
71908,32 Pubs and Subs ,188.26
71908,32 Pubs and Subs ,188.54
71908,32 Pubs and Subs ,188.63
71877,32 Pubs and Subs ,185.56
71908,32 Pubs and Subs ,188.92
71908,32 Pubs and Subs ,188.94
71908,32 Pubs and Subs ,189.04
71877,32 Pubs and Subs ,185.94
71908,32 Pubs and Subs ,189.30
71877,32 Pubs and Subs ,186.04
71908,32 Pubs and Subs ,189.60
71877,32 Pubs and Subs ,186.47
