Subscribers,Delay (ms)
4 Subscribers,735.82
4 Subscribers,735.79
4 Subscribers,735.49
4 Subscribers,734.42
4 Subscribers,733.66
4 Subscribers,733.35
4 Subscribers,733.04
4 Subscribers,732.91
4 Subscribers,732.86
4 Subscribers,732.72
4 Subscribers,732.49
4 Subscribers,732.00
4 Subscribers,731.97
4 Subscribers,731.20
4 Subscribers,730.94
4 Subscribers,730.90
4 Subscribers,730.49
4 Subscribers,730.29
4 Subscribers,730.22
4 Subscribers,728.53
4 Subscribers,727.94
4 Subscribers,727.34
4 Subscribers,727.10
4 Subscribers,726.57
4 Subscribers,726.48
4 Subscribers,726.29
4 Subscribers,726.24
4 Subscribers,725.44
4 Subscribers,725.09
4 Subscribers,724.41
4 Subscribers,724.31
4 Subscribers,723.93
4 Subscribers,723.80
4 Subscribers,723.08
4 Subscribers,722.75
4 Subscribers,722.46
4 Subscribers,721.38
4 Subscribers,720.76
4 Subscribers,720.69
4 Subscribers,720.67
4 Subscribers,720.62
4 Subscribers,720.62
4 Subscribers,720.15
4 Subscribers,719.71
4 Subscribers,719.61
4 Subscribers,719.42
4 Subscribers,718.58
4 Subscribers,718.54
4 Subscribers,718.33
4 Subscribers,718.22
4 Subscribers,717.72
4 Subscribers,717.10
4 Subscribers,717.04
4 Subscribers,716.78
4 Subscribers,716.66
4 Subscribers,716.39
4 Subscribers,713.54
4 Subscribers,713.45
4 Subscribers,712.88
4 Subscribers,712.59
4 Subscribers,712.52
4 Subscribers,712.45
4 Subscribers,712.28
4 Subscribers,711.37
4 Subscribers,711.29
4 Subscribers,711.22
4 Subscribers,710.71
4 Subscribers,710.19
4 Subscribers,709.97
4 Subscribers,709.24
4 Subscribers,709.12
4 Subscribers,708.49
4 Subscribers,708.17
4 Subscribers,707.53
4 Subscribers,706.41
4 Subscribers,706.27
4 Subscribers,706.19
4 Subscribers,705.51
4 Subscribers,705.45
4 Subscribers,705.00
4 Subscribers,704.52
4 Subscribers,704.15
4 Subscribers,703.18
4 Subscribers,703.10
4 Subscribers,702.83
4 Subscribers,702.78
4 Subscribers,702.75
4 Subscribers,702.22
4 Subscribers,701.38
4 Subscribers,700.39
4 Subscribers,699.80
4 Subscribers,698.80
4 Subscribers,698.39
4 Subscribers,696.63
4 Subscribers,696.47
4 Subscribers,696.06
4 Subscribers,695.62
4 Subscribers,694.46
4 Subscribers,694.30
4 Subscribers,694.00
4 Subscribers,692.61
4 Subscribers,692.31
4 Subscribers,692.00
4 Subscribers,689.45
4 Subscribers,688.65
4 Subscribers,685.97
4 Subscribers,685.88
4 Subscribers,684.65
4 Subscribers,683.28
4 Subscribers,682.02
4 Subscribers,680.82
4 Subscribers,679.95
4 Subscribers,679.38
4 Subscribers,678.29
4 Subscribers,676.96
4 Subscribers,676.96
4 Subscribers,676.90
4 Subscribers,676.90
4 Subscribers,676.44
4 Subscribers,676.11
4 Subscribers,674.30
4 Subscribers,673.92
4 Subscribers,673.85
4 Subscribers,673.54
4 Subscribers,673.38
4 Subscribers,673.37
4 Subscribers,673.25
4 Subscribers,673.17
4 Subscribers,672.03
4 Subscribers,670.34
4 Subscribers,669.55
4 Subscribers,669.45
4 Subscribers,669.22
4 Subscribers,669.20
4 Subscribers,669.09
4 Subscribers,668.46
4 Subscribers,667.11
4 Subscribers,666.48
4 Subscribers,665.52
4 Subscribers,664.97
4 Subscribers,664.23
4 Subscribers,664.14
4 Subscribers,663.52
4 Subscribers,663.16
4 Subscribers,662.73
4 Subscribers,660.74
4 Subscribers,659.79
4 Subscribers,658.74
4 Subscribers,657.72
4 Subscribers,655.06
4 Subscribers,653.53
4 Subscribers,653.37
4 Subscribers,652.98
4 Subscribers,652.89
4 Subscribers,651.78
4 Subscribers,651.05
4 Subscribers,650.47
4 Subscribers,650.10
4 Subscribers,649.93
4 Subscribers,649.22
4 Subscribers,647.88
4 Subscribers,646.83
4 Subscribers,646.67
4 Subscribers,646.59
4 Subscribers,646.41
4 Subscribers,645.95
4 Subscribers,645.19
