Subscribers,Delay (ms)
4 Subscribers,596.21
4 Subscribers,599.8
4 Subscribers,600.71
4 Subscribers,601.35
4 Subscribers,601.57
4 Subscribers,602.92
4 Subscribers,603.42
4 Subscribers,606.04
4 Subscribers,606.15
4 Subscribers,606.18
4 Subscribers,607.23
4 Subscribers,607.97
4 Subscribers,608.28
4 Subscribers,608.74
4 Subscribers,609.35
4 Subscribers,610.55
4 Subscribers,612.27
4 Subscribers,612.84
4 Subscribers,613.52
4 Subscribers,613.79
4 Subscribers,613.91
4 Subscribers,614.47
4 Subscribers,614.9
4 Subscribers,615.59
4 Subscribers,616.24
4 Subscribers,617.62
4 Subscribers,617.91
4 Subscribers,618.19
4 Subscribers,618.99
4 Subscribers,620.66
4 Subscribers,620.72
4 Subscribers,621.27
4 Subscribers,621.57
4 Subscribers,621.73
4 Subscribers,622.76
4 Subscribers,623.36
4 Subscribers,624.36
4 Subscribers,624.6
4 Subscribers,625.04
4 Subscribers,625.18
4 Subscribers,625.95
4 Subscribers,627.02
4 Subscribers,627.04
4 Subscribers,627.19
4 Subscribers,627.45
4 Subscribers,627.91
4 Subscribers,627.96
4 Subscribers,628.15
4 Subscribers,628.68
4 Subscribers,629.11
4 Subscribers,629.15
4 Subscribers,630.06
4 Subscribers,630.07
4 Subscribers,630.1
4 Subscribers,630.15
4 Subscribers,630.64
4 Subscribers,630.97
4 Subscribers,631.81
4 Subscribers,632.26
4 Subscribers,632.58
4 Subscribers,632.69
4 Subscribers,632.83
4 Subscribers,633.35
4 Subscribers,633.92
4 Subscribers,634.03
4 Subscribers,634.73
4 Subscribers,634.81
4 Subscribers,634.94
4 Subscribers,635.14
4 Subscribers,635.34
4 Subscribers,635.51
4 Subscribers,635.61
4 Subscribers,635.84
4 Subscribers,636.17
4 Subscribers,636.51
4 Subscribers,637.31
4 Subscribers,637.45
4 Subscribers,637.55
4 Subscribers,637.77
4 Subscribers,638.49
4 Subscribers,638.51
4 Subscribers,639.48
4 Subscribers,639.67
4 Subscribers,639.72
4 Subscribers,639.79
4 Subscribers,640.64
4 Subscribers,640.98
4 Subscribers,641.54
4 Subscribers,641.56
4 Subscribers,642.4
4 Subscribers,642.56
4 Subscribers,642.7
4 Subscribers,643.02
4 Subscribers,643.35
4 Subscribers,644.13
4 Subscribers,644.66
4 Subscribers,644.86
4 Subscribers,645.06
4 Subscribers,645.5
4 Subscribers,646.41
4 Subscribers,648.06
4 Subscribers,648.11
4 Subscribers,648.48
4 Subscribers,648.61
4 Subscribers,648.73
4 Subscribers,648.73
4 Subscribers,649.24
4 Subscribers,649.83
4 Subscribers,649.93
4 Subscribers,650.24
4 Subscribers,650.48
4 Subscribers,650.95
4 Subscribers,651.62
4 Subscribers,651.7
4 Subscribers,651.76
4 Subscribers,652.1
4 Subscribers,652.32
4 Subscribers,652.43
4 Subscribers,652.74
4 Subscribers,652.85
4 Subscribers,653.15
4 Subscribers,653.46
4 Subscribers,653.46
4 Subscribers,653.57
4 Subscribers,654.61
4 Subscribers,654.87
4 Subscribers,655.29
4 Subscribers,655.73
4 Subscribers,656.45
4 Subscribers,657.42
4 Subscribers,657.54
4 Subscribers,657.56
4 Subscribers,657.56
4 Subscribers,657.57
4 Subscribers,657.87
4 Subscribers,658.41
4 Subscribers,659.31
4 Subscribers,659.38
4 Subscribers,659.83
4 Subscribers,660.18
4 Subscribers,663.7
4 Subscribers,663.75
4 Subscribers,665.53
4 Subscribers,665.58
4 Subscribers,665.76
4 Subscribers,665.92
4 Subscribers,666.15
4 Subscribers,666.25
4 Subscribers,666.77
4 Subscribers,666.83
4 Subscribers,667.91
4 Subscribers,668.15
4 Subscribers,668.2
4 Subscribers,668.76
4 Subscribers,669.04
4 Subscribers,669.53
4 Subscribers,669.8
4 Subscribers,670.25
4 Subscribers,670.33
4 Subscribers,670.41
4 Subscribers,670.56
4 Subscribers,670.6
4 Subscribers,670.99
4 Subscribers,671.32
4 Subscribers,672.3
4 Subscribers,672.77
4 Subscribers,673.05
4 Subscribers,673.18
4 Subscribers,673.28
4 Subscribers,673.73
4 Subscribers,674.24
4 Subscribers,675.14
4 Subscribers,675.29
4 Subscribers,675.42
4 Subscribers,675.53
4 Subscribers,675.72
4 Subscribers,675.9
4 Subscribers,675.96
4 Subscribers,676.06
4 Subscribers,676.6
4 Subscribers,677.21
4 Subscribers,677.37
4 Subscribers,677.72
4 Subscribers,678.32
4 Subscribers,678.61
4 Subscribers,678.63
4 Subscribers,679.08
4 Subscribers,679.52
4 Subscribers,679.56
4 Subscribers,680
4 Subscribers,681.27
4 Subscribers,681.72
4 Subscribers,681.96
4 Subscribers,682.14
4 Subscribers,682.23
4 Subscribers,682.44
4 Subscribers,682.88
4 Subscribers,683.09
4 Subscribers,685.9
4 Subscribers,686.77
4 Subscribers,686.78
4 Subscribers,686.81
4 Subscribers,687.15
4 Subscribers,687.47
4 Subscribers,687.6
4 Subscribers,687.64
4 Subscribers,688.21
4 Subscribers,688.49
4 Subscribers,689.25
4 Subscribers,689.88
4 Subscribers,689.97
4 Subscribers,690.01
4 Subscribers,690.23
4 Subscribers,690.33
4 Subscribers,690.42
4 Subscribers,691.06
4 Subscribers,691.85
4 Subscribers,691.88
4 Subscribers,692.39
4 Subscribers,693.87
4 Subscribers,694.33
4 Subscribers,694.34
4 Subscribers,695.19
4 Subscribers,695.48
4 Subscribers,695.99
4 Subscribers,696.33
4 Subscribers,696.96
4 Subscribers,697.11
4 Subscribers,697.35
4 Subscribers,697.41
4 Subscribers,697.77
4 Subscribers,698.15
4 Subscribers,698.52
4 Subscribers,698.85
4 Subscribers,699.57
4 Subscribers,699.68
4 Subscribers,700.58
4 Subscribers,700.6
4 Subscribers,701.14
4 Subscribers,701.6
4 Subscribers,702.41
4 Subscribers,702.98
4 Subscribers,702.99
4 Subscribers,703.49
4 Subscribers,703.7
4 Subscribers,704.38
4 Subscribers,705.18
4 Subscribers,705.65
4 Subscribers,705.79
4 Subscribers,706.3
4 Subscribers,706.72
4 Subscribers,707.39
4 Subscribers,707.84
4 Subscribers,707.85
4 Subscribers,708.25
4 Subscribers,708.38
4 Subscribers,708.92
