Subscribers, Delay (ms)
4 Subscribers,48.17
4 Subscribers,53.89
4 Subscribers,56.21
4 Subscribers,64.75
4 Subscribers,66.99
4 Subscribers,69.26
4 Subscribers,72.05
4 Subscribers,47.37
4 Subscribers,51.29
4 Subscribers,54.20
4 Subscribers,56.23
4 Subscribers,37.73
4 Subscribers,63.55
4 Subscribers,67.13
4 Subscribers,67.77
4 Subscribers,40.14
4 Subscribers,58.53
4 Subscribers,60.11
4 Subscribers,65.67
4 Subscribers,37.80
4 Subscribers,39.00
4 Subscribers,49.57
4 Subscribers,51.84
4 Subscribers,57.63
4 Subscribers,57.92
4 Subscribers,60.98
4 Subscribers,64.53
4 Subscribers,36.81
4 Subscribers,37.00
4 Subscribers,58.09
4 Subscribers,67.46
4 Subscribers,47.83
4 Subscribers,49.88
4 Subscribers,54.36
4 Subscribers,57.36
4 Subscribers,53.08
4 Subscribers,63.89
4 Subscribers,66.68
4 Subscribers,72.18
4 Subscribers,40.13
4 Subscribers,47.16
4 Subscribers,49.95
4 Subscribers,61.79
4 Subscribers,47.95
4 Subscribers,50.29
4 Subscribers,52.53
4 Subscribers,52.79
4 Subscribers,55.45
4 Subscribers,56.56
4 Subscribers,57.32
4 Subscribers,60.95
4 Subscribers,54.50
4 Subscribers,60.11
4 Subscribers,60.35
4 Subscribers,61.14
4 Subscribers,40.01
4 Subscribers,51.09
4 Subscribers,53.62
4 Subscribers,53.97
4 Subscribers,44.44
4 Subscribers,52.69
4 Subscribers,53.40
4 Subscribers,52.87
4 Subscribers,40.67
4 Subscribers,40.75
4 Subscribers,43.70
4 Subscribers,53.79
4 Subscribers,45.80
4 Subscribers,48.89
4 Subscribers,51.43
4 Subscribers,59.83
4 Subscribers,39.80
4 Subscribers,40.59
4 Subscribers,44.56
4 Subscribers,51.29
4 Subscribers,39.76
4 Subscribers,39.21
4 Subscribers,41.66
4 Subscribers,50.57
4 Subscribers,40.95
4 Subscribers,51.03
4 Subscribers,51.16
4 Subscribers,61.27
4 Subscribers,48.28
4 Subscribers,62.85
4 Subscribers,66.25
4 Subscribers,71.30
4 Subscribers,50.14
4 Subscribers,52.70
4 Subscribers,53.09
4 Subscribers,59.67
4 Subscribers,57.62
4 Subscribers,58.38
4 Subscribers,59.27
4 Subscribers,61.91
4 Subscribers,50.88
4 Subscribers,52.27
4 Subscribers,53.37
4 Subscribers,53.41
4 Subscribers,57.35
4 Subscribers,58.19
4 Subscribers,59.07
4 Subscribers,60.89
4 Subscribers,40.29
4 Subscribers,51.21
4 Subscribers,51.88
4 Subscribers,51.88
4 Subscribers,39.59
4 Subscribers,40.37
4 Subscribers,44.16
4 Subscribers,50.68
4 Subscribers,39.31
4 Subscribers,40.00
4 Subscribers,44.97
4 Subscribers,50.59
4 Subscribers,35.47
4 Subscribers,35.96
4 Subscribers,62.02
4 Subscribers,66.20
4 Subscribers,52.66
4 Subscribers,66.70
4 Subscribers,72.87
4 Subscribers,74.70
4 Subscribers,48.71
4 Subscribers,50.92
4 Subscribers,51.67
4 Subscribers,53.86
4 Subscribers,55.31
4 Subscribers,59.70
4 Subscribers,72.82
4 Subscribers,81.80
4 Subscribers,37.38
4 Subscribers,37.38
4 Subscribers,50.11
4 Subscribers,51.51
4 Subscribers,35.92
4 Subscribers,36.21
4 Subscribers,48.00
4 Subscribers,52.06
4 Subscribers,43.14
4 Subscribers,52.92
4 Subscribers,52.26
4 Subscribers,67.85
4 Subscribers,43.32
4 Subscribers,51.04
4 Subscribers,58.77
4 Subscribers,62.24
4 Subscribers,62.10
4 Subscribers,62.10
4 Subscribers,66.60
4 Subscribers,75.50
4 Subscribers,43.39
4 Subscribers,50.46
4 Subscribers,53.48
4 Subscribers,53.72
4 Subscribers,38.22
4 Subscribers,38.51
4 Subscribers,41.93
4 Subscribers,49.62
4 Subscribers,38.28
4 Subscribers,54.06
4 Subscribers,65.87
4 Subscribers,72.45
4 Subscribers,58.51
4 Subscribers,58.70
4 Subscribers,65.93
4 Subscribers,77.58
4 Subscribers,58.38
4 Subscribers,64.93
4 Subscribers,65.54
4 Subscribers,67.07
4 Subscribers,38.39
4 Subscribers,38.39
4 Subscribers,42.24
4 Subscribers,50.10
4 Subscribers,38.40
4 Subscribers,38.85
4 Subscribers,41.65
4 Subscribers,45.59
6 Subscribers,44.93
6 Subscribers,46.79
6 Subscribers,47.49
6 Subscribers,48.01
6 Subscribers,68.49
6 Subscribers,73.50
6 Subscribers,49.40
6 Subscribers,49.80
6 Subscribers,54.18
6 Subscribers,54.29
6 Subscribers,64.16
6 Subscribers,77.13
6 Subscribers,50.26
6 Subscribers,50.34
6 Subscribers,60.56
6 Subscribers,65.75
6 Subscribers,70.16
6 Subscribers,78.91
6 Subscribers,50.66
6 Subscribers,51.50
6 Subscribers,60.12
6 Subscribers,73.60
6 Subscribers,88.24
6 Subscribers,91.43
6 Subscribers,52.86
6 Subscribers,53.19
6 Subscribers,61.95
6 Subscribers,74.04
6 Subscribers,85.43
6 Subscribers,89.38
6 Subscribers,57.93
6 Subscribers,74.24
6 Subscribers,84.47
6 Subscribers,91.37
6 Subscribers,93.80
6 Subscribers,107.08
6 Subscribers,48.63
6 Subscribers,48.75
6 Subscribers,49.23
6 Subscribers,63.23
6 Subscribers,73.83
6 Subscribers,80.47
6 Subscribers,51.44
6 Subscribers,60.12
6 Subscribers,78.39
6 Subscribers,87.26
6 Subscribers,91.92
6 Subscribers,95.08
6 Subscribers,46.81
6 Subscribers,53.89
6 Subscribers,61.63
6 Subscribers,68.01
6 Subscribers,73.48
6 Subscribers,89.02
6 Subscribers,50.91
6 Subscribers,63.77
6 Subscribers,64.65
6 Subscribers,71.51
6 Subscribers,78.82
6 Subscribers,79.93
6 Subscribers,49.70
6 Subscribers,51.18
6 Subscribers,69.34
6 Subscribers,74.30
6 Subscribers,84.53
6 Subscribers,88.38
6 Subscribers,72.85
6 Subscribers,86.93
6 Subscribers,94.96
6 Subscribers,95.62
6 Subscribers,96.18
6 Subscribers,103.30
6 Subscribers,43.78
6 Subscribers,51.13
6 Subscribers,51.39
6 Subscribers,51.50
6 Subscribers,64.28
6 Subscribers,77.37
6 Subscribers,50.13
6 Subscribers,50.58
6 Subscribers,68.36
6 Subscribers,79.67
6 Subscribers,85.36
6 Subscribers,93.83
6 Subscribers,44.33
6 Subscribers,52.55
6 Subscribers,52.57
6 Subscribers,54.29
6 Subscribers,69.82
6 Subscribers,76.99
6 Subscribers,49.09
6 Subscribers,49.87
6 Subscribers,50.03
6 Subscribers,50.13
6 Subscribers,62.43
6 Subscribers,75.78
6 Subscribers,51.42
6 Subscribers,53.45
6 Subscribers,57.63
